id,name,calculated_dob,wiki_dob,mentions,tweet
aplusk,ashton kutcher,07-12-2011,07-02-1978,['@Poshmarkapp'],"b""To celebrate @Poshmarkapp's 5th birthday, there's a special surprise in my boutique:   #poshlovefest"""
arrahman,A.R.Rahman,27-07-1950,06-01-1967,[],"b'Happy 70th birthday to Pandit Viswamohan Bhatt Ji! I\xe2\x80\x99m really grateful for the amazing solos you played for us in some of the movies like Lagaan, Iruvar and Mersal. Wishing you good health and happiness!'"
arrahman,A.R.Rahman,10-01-1940,06-01-1967,[],"b'Yesudas, who celebrates his 80th birthday today, is the frenemy of our generation | Entertainment News | English Manorama  '"
AshBenzo,Ashley Benson,05-06-1993,18-12-1989,['@TheEllenShow'],"b'RT @TheEllenShow: Today would have been Breonna Taylor\xe2\x80\x99s 27th birthday. A medical worker on the frontline, she wanted to become a nurse. Sh\xe2\x80\xa6'"
Ashton5SOS,Ashton Irwin,07-02-2014,07-07-1994,['@5SOS'],b'RT @5SOS: Happy 7th birthday to our first ever hit song SHE LOOKS SO PERFECT. Here\xe2\x80\x99s the thread  of the creation and writing process. Than\xe2\x80\xa6'
Ashton5SOS,Ashton Irwin,17-07-1996,07-07-1994,"['@5SOS', '@Luke5SOS']",b'RT @5SOS:  KARAOKE IN SEOUL  we celebrate \xe2\x81\xa6@Luke5SOS\xe2\x81\xa9 23rd birthday in South Korea and enjoy the beautiful city of Seoul after an aweso\xe2\x80\xa6'
Ashton5SOS,Ashton Irwin,17-01-1996,07-07-1994,['@Calum5SOS'],b'Why does he keep doing this. The 21st birthday slideshow thickens. @Calum5SOS  '
Ashton5SOS,Ashton Irwin,04-12-2011,07-07-1994,['@5SOS'],"b'We used to be cute what the hell happened to us, happy 5th birthday @5SOS'"
Asli_Jacqueline,Jacqueline Fernandez,11-06-1954,11-08-1985,[],"b""You're my life  happy 63rd birthday  #geripoo    """
AustinMahone,Austin Mahone,11-05-2006,04-04-1996,"['@MertECuha', '@Hublot']",b'@MertECuha Not really a watch guy TBH but my @Hublot that I got on my 16th birthday!'
AustinMahone,Austin Mahone,28-11-1999,04-04-1996,"['@Quran_Harris', '@AustinMahone']",b'RT @Quran_Harris: @AustinMahone this is how I\xe2\x80\x99m pregaming my 22nd birthday  '
AvrilLavigne,Avril Lavigne,26-09-1984,27-09-1984,"['@TheBankLV', '@AvrilFoundation', '@SpecialOlympics']",b'Getting excited for my 30th birthday! Ready to celebrate @TheBankLV &amp; support @AvrilFoundation @SpecialOlympics! http://t.co/kTjxtT1q49'
BarackObama,Barack Obama,06-05-1931,04-08-1961,[],"b'Happy birthday to one of the greats, Willie Mays! I\xe2\x80\x99ll always remember this conversation we had while on Air Force One during the first year of my presidency. I\xe2\x80\x99ve always looked up to the Say Hey Kid, and I hope he\xe2\x80\x99s having a great 91st birthday.  '"
BarackObama,Barack Obama,01-10-1924,04-08-1961,[],"b""Happy 97th birthday, President Carter! Thank you for the extraordinary example of lifelong service that you've set for all of us."""
BarackObama,Barack Obama,06-05-1931,04-08-1961,[],"b""Happy 90th birthday to Willie Mays! If it wasn't for folks like Willie and Jackie Robinson, I might never have made it to the White House. The spirit he played with and the way he carried himself changed the game and people\xe2\x80\x99s attitudes. I\xe2\x80\x99m glad he\xe2\x80\x99s still going strong.  """
BarackObama,Barack Obama,13-02-1934,04-08-1961,['@RealBillRussell'],"b'Happy 85th birthday to @RealBillRussell - the greatest champion in American sports, and a lifelong warrior for justice.'"
BarackObama,Barack Obama,01-02-1919,04-08-1961,[],"b'As we celebrate Black History Month and Jackie Robinson\xe2\x80\x99s 100th birthday, we celebrate the life of all whose courage opened the gates for everybody, and in the process, made America better.  '"
BarackObama,Barack Obama,25-08-1916,04-08-1961,['@NatlParkService'],"b""Happy 100th birthday, @NatlParkService. Here's to the next 100. #NPS100  """
BarackObama,Barack Obama,03-08-1961,04-08-1961,[],b'Show President Obama some love on his 55th birthday\xe2\x80\x94sign the birthday card.    '
BarackObama,Barack Obama,29-07-1961,04-08-1961,['@OFA'],"b""Help President Obama celebrate his 55th birthday by signing @OFA's card today:    """
BarackObama,Barack Obama,01-03-1961,04-08-1961,['@PeaceCorps'],"b""Today's the 55th birthday of the @PeaceCorps. Thanks to all who have served across the globe. #PeaceCorpsWeek2016"""
BarackObama,Barack Obama,14-08-1935,04-08-1961,[],b'Today is the 80th birthday of #SocialSecurity\xe2\x80\x94a lifeline to millions of Americans. http://t.co/rBA99iZ1L8'
bhogleharsha,Harsha Bhogle,09-07-1981,19-07-1961,['@joybhattacharj'],"b""RT @joybhattacharj: On MS Dhoni's 41st birthday, a passion project that's taken the best part of 2 years. I just played non-striker, while\xe2\x80\xa6"""
bhogleharsha,Harsha Bhogle,07-09-1979,19-07-1961,['@joybhattacharj'],"b""RT @joybhattacharj: It's ESPN's 42nd birthday. The original ESPN fan was that pure hard-core sports fan, and every one who geeks on sport t\xe2\x80\xa6"""
BillCosby,Bill Cosby,13-07-1937,12-07-1937,[],b'Smiling broadly and looking relaxed and healthy Bill Cosby paid tribute to his wife Camille as he marked his 84th birthday Monday. \n\n '
BillCosby,Bill Cosby,06-03-1997,12-07-1937,['@alyssa_hulst'],"b""Happy Birthday to your friend turning 15! :) #OBKB RT @alyssa_hulst: it's my friend's 15th birthday party today! :)"""
BillGates,Bill Gates,07-07-2012,28-10-1955,[],"b'Happy 10th birthday to CRISPR, one of the most important inventions in medicine, biology, and agriculture.  '"
BillGates,Bill Gates,30-08-1930,28-10-1955,[],"b'Happy 90th birthday, Warren!  '"
BillGates,Bill Gates,30-09-2014,28-10-1955,[],b'More and more children are living to see their 5th birthdays. That\xe2\x80\x99s because the world has made incredible progress in reducing child mortality. But progress has been uneven. We have more work to do to close the gaps across countries and within them.  '
BillGates,Bill Gates,23-12-2009,28-10-1955,[],b'One of my favorite trends\xe2\x80\x93more children are living to see their 5th birthday than ever before. This is the catalyst: http://t.co/9oq5jUh0JT'
BillGates,Bill Gates,25-06-2009,28-10-1955,[],"b'Since 1989, 25M more kids reached their 5th birthday. Happy to join the #5thbday campaign: http://t.co/bYVMpLKK3m http://t.co/y9lp4OJaUA'"
BillGates,Bill Gates,01-02-2009,28-10-1955,[],"b'My favorite stat: 20% of children born in 1960 died before their 5th birthday, but today that number is down to 6%: http://t.co/rlqavPM24h'"
BillSimmons,Bill Simmons,14-09-1971,25-09-1969,"['@jimmykimmel', '@CousinMicki']","b'RT @jimmykimmel: Happy 50th birthday @CousinMicki! Love, Jimmy (the human one)  '"
bipsluvurself,Bipasha Basu,08-01-1979,07-01-1979,['@ZoomTV'],b'RT @ZoomTV: Bipasha Basu is celebrating her 43rd birthday today\n\n \n\n#zoomtv #BipashaBasu #birthday #Bollywood'
bipsluvurself,Bipasha Basu,08-01-1979,07-01-1979,['@ieEntertainment'],"b""RT @ieEntertainment: It is #BipashaBasu's 43rd birthday today!\n """
bipsluvurself,Bipasha Basu,05-11-2009,07-01-1979,[],b'Family  anitej10m birthday celebration  #happy18  '
bipsluvurself,Bipasha Basu,05-11-2009,07-01-1979,[],b'Family  anitej10m birthday celebration  #happy18  '
biz,Biz Stone,25-05-1939,10-03-1974,"['@guardianfilm', '@IanMcKellen', '@AnthonyHopkins', '@SirPatStew', '@michaelsheen', '@russelltovey', '@stephenfry']","b'RT @guardianfilm: Happy 80th birthday @IanMcKellen! @AnthonyHopkins @SirPatStew @michaelsheen @russelltovey @stephenfry Judi Dench, Helen M\xe2\x80\xa6'"
biz,Biz Stone,20-03-2006,10-03-1974,['@Twitter'],"b'Happy lucky 13th birthday, @Twitter We love you.  '"
biz,Biz Stone,24-05-2015,10-03-1974,['@NeighborNest'],"b""One of the programs I'm most proud of Twitter for doing. Our beloved @NeighborNest is celebrating it's official 3rd birthday today! 3 years of creating new possibilities through technology and a love for learning.  """
blakeshelton,Blake Shelton,30-09-2017,18-06-1976,['@OleRed'],"b'Happy 3rd birthday, @OleRed Tishomingo!!!!!!  '"
blakeshelton,Blake Shelton,02-03-2016,18-06-1976,['@SmithworksVodka'],b'Happy 4th birthday @SmithworksVodka!!!!!! We are blowing out today!!!!  '
blakeshelton,Blake Shelton,22-08-2017,18-06-1976,"['@OleRedTish', '@CWBYall', '@TGSheppardm']","b""RT @OleRedTish: Happy 2nd birthday to us! We're celebrating 2 years with y'all with TWO concerts!\n\nCatch @CWBYall Sept. 20 AND @TGSheppardm\xe2\x80\xa6"""
bobsaget,bob saget,09-05-1926,17-05-1956,['@DonRickles'],"b""Happy and healthy 90th birthday to a legend I'm lucky to call my friend, the iconic hilarious @DonRickles.  """
bobsaget,bob saget,19-09-1997,17-05-1956,[],"b""18 years, 18 years\nAnd on the 18th birthday he found out it wasn't his?!\n#surprise"""
bobsaget,bob saget,08-05-1926,17-05-1956,['@DonRickles'],"b'Just spoke to the great @DonRickles to wish him a happy 86th birthday. He said ""Thanks for the cake."" Now I know what to get him next year.'"
bobsaget,bob saget,08-02-1925,17-05-1956,[],"b'My mom\'s 87th birthday comes up next week and she specifically wants a ""4 ft. high artificial plant in a really nice pot."" Any suggestions?'"
bobsaget,bob saget,12-02-1925,17-05-1956,[],"b""Today's my mother's 86th birthday. She still swims a lot so I bought her lots of big and heavy jewelry for her to wear in the pool."""
bobsaget,bob saget,10-02-1925,17-05-1956,[],"b""My mother's 85th birthday is Friday, Feb 12th, Abraham Lincoln's birthday. To celebrate, I'm gonna take her to a play..."""
bomanirani,Boman Irani,05-05-1993,02-12-1959,['@jetairways'],"b'Celebrated my birthday on flight with you guys....now here\xe2\x80\x99s wishing you on your 25th birthday. \nThank you for the memories, thank you for the love @jetairways. \n#25YearsOf9W  '"
bomanirani,Boman Irani,27-10-1927,02-12-1959,[],"b""Today is my Mom's 88th birthday. Asked her how she felt. Said: Good enough to run for the Derby!!! She's a winner alright!"""
Bourdain,Anthony Bourdain,09-10-1959,25-06-1956,['@AlexKokcharov'],"b'RT @AlexKokcharov: Today would have been 57th birthday of #Russia|n opposition leader Boris #Nemtsov, murdered in #Moscow in February 2015:\xe2\x80\xa6'"
BradPaisley,Brad Paisley,19-01-1946,28-10-1972,['@dollyparton'],b'Happy 70th birthday @dollyparton !'
BradPaisley,Brad Paisley,28-05-1945,28-10-1972,[],"b'Happy 70th birthday to a living legend, an inspiration, and a friend- John_Fogerty http://t.co/jXTQGX5v15'"
britneyspears,Britney Spears 🌹🚀,28-03-2000,02-12-1981,[],"b'To everyone wishing ""Oops"" a happy 15th birthday... Aww you shouldn\'t have ;) #HappyBirthdayOopsIDidItAgain http://t.co/5y58azYZqC'"
britneyspears,Britney Spears 🌹🚀,29-10-1981,02-12-1981,"['@only1britney', '@britneyspears']",b'RT @only1britney: @britneyspears #AskBritneyJean What are your plans for your 32nd birthday?'
britneyspears,Britney Spears 🌹🚀,13-09-2006,02-12-1981,[],"b""You guys are SOOOO sweet. Thanks for all the love on my baby boy's 7th birthday :)"""
brookeburke,Brooke Burke,08-01-2007,08-09-1971,[],"b'Happy 12th birthday  to my Rainbow . I learn my greatest life lessons from this one every day. What a blessing it is to be your mother and watch you grow. You are kind, compassionate,\xe2\x80\xa6  '"
BrunoMars,Bruno Mars,04-09-1996,08-10-1985,['@YasmiNiksaz'],b'RT @YasmiNiksaz: Do you remember what you did for you 16th birthday?&lt;--That was the day Zuckerberg stole Facebook from me #damnyouzuckerberg'
BSchweinsteiger,Bastian Schweinsteiger,23-10-1940,01-08-1984,['@Pele'],"b'Congratulations on your 80th birthday, @Pele! I hope your big day is as phenomenal as your football talent! #Pele80  '"
BSchweinsteiger,Bastian Schweinsteiger,27-02-1900,01-08-1984,"['@FCBayern', '@FCBayern']","b'120 Jahre @FCBayern! Alles Gute zum Geburtstag  #MiaSanMia\n\nHappy 120th birthday, @FCBayern  #MiaSanMia  '"
BSchweinsteiger,Bastian Schweinsteiger,27-05-1990,01-08-1984,[],"b'All the best to your 26th birthday, Jonas #Hector! Hope you have a good one   '"
BSchweinsteiger,Bastian Schweinsteiger,13-02-1994,01-08-1984,['@Memphis'],b'Happy 22nd birthday and the very best to @Memphis. Hoping for three points today   '
BSchweinsteiger,Bastian Schweinsteiger,01-01-1996,01-08-1984,['@AndrinhoPereira'],"b'All the best to your 20th birthday, @AndrinhoPereira. Hope you had a great start into the new year! '"
BSchweinsteiger,Bastian Schweinsteiger,01-03-1900,01-08-1984,[],"b""Hope you had fun celebrating FC Bayern's 115th birthday. Have a nice Sunday. \n\nSch\xc3\xb6nen Sonntag! #MiaSan115 http://t.co/zoOASA6uT8"""
Calum5SOS,Calum Hood,27-06-2014,25-01-1996,[],b'Happy 5th birthday.  '
carrieunderwood,Carrie Underwood,04-10-1925,10-03-1983,['@opry'],"b""Happy 90th birthday @opry I heard that 90 is the new 30! Ha! I'm honored to be in your family to\xe2\x80\xa6  """
charliesheen,Charlie Sheen,04-09-1965,03-09-1965,"['@dimitrivegas', '@charliesheen', '@likemike']",b'RT @dimitrivegas: Happy 50th birthday to our boy @charliesheen !!! @likemike http://t.co/qUcM6TbD2F'
charliesheen,Charlie Sheen,01-04-2009,03-09-1965,"['@BrookeMueller', '@BrookeMueller']","b""Proud of @BrookeMueller & my sons today on their 3rd birthday! Follow Brooke! She's awesome! RT @BrookeMueller  http://t.co/D2Xxs1o2"""
charliesheen,Charlie Sheen,10-03-2004,03-09-1965,[],"b""Epic night at D's with family celebrating Sam's 8th birthday..!  Morgan wore 8, Berra wore 8... And now Sam is 8..!  \xe2\x80\xa6 http://t.co/JZsN6RHV"""
charliesheen,Charlie Sheen,09-03-2004,03-09-1965,['@deniserichards'],b'Thank you D for this amazing gift. happy B-day angel!\nRT@deniserichards Happy 8th birthday to our beautiful daughter Sami! We love you....xo'
charliesheen,Charlie Sheen,13-09-1994,03-09-1965,['@SabrinaxZab'],"b""can't do it sweetie! 2 busy promoting the #sheenroast 9/19 10p on comedy central!\nRT @SabrinaxZab my 17th birthday, cn I please get a shout?"""
charliesheen,Charlie Sheen,02-07-1993,03-09-1965,"['@MI55RRB', '@charliesheen']",b'Btw... happy birthday!\nRT @MI55RRB @charliesheen please RT me its my 18th birthday.'
charliesheen,Charlie Sheen,02-07-1993,03-09-1965,"['@MI55RRB', '@charliesheen']","b""I'll do it on your 21st instead...  Cool?!?!\nRT @MI55RRB @charliesheen please RT me its my 18th birthday."""
CherLloyd,Cher Lloyd,12-12-1989,28-07-1993,[],b'Happy 27th birthday to the best husband ever   '
chriscolfer,Chris Colfer,21-04-1926,27-05-1990,['@RoyalFamily'],"b'RT @RoyalFamily: Happy 93rd birthday to Her Majesty The Queen! \n\nOur video includes a photograph from each decade of The Queen\xe2\x80\x99s life, from\xe2\x80\xa6'"
chriscolfer,Chris Colfer,01-10-1935,27-05-1990,['@BethBehrs'],b'RT @BethBehrs: Happy 80th birthday to the gal who made me want to be an actress! Thank you for being an inspiration everyday! http://t.co/w\xe2\x80\xa6'
ChrisMoyles,Chris Moyles,03-06-1998,22-02-1974,['@shedseven'],b'RT @shedseven: On Let It\xe2\x80\x99s Rides 23rd birthday  here\xe2\x80\x99s a bit a SLMOF down at rehearsals tonight.  '
ChrisMoyles,Chris Moyles,21-09-2015,22-02-1974,['@RadioX'],"b""Happy 2nd birthday to @RadioX and to The Chris Moyles Show.\n\nThanks for listening.\n\n(Yes, I've been back on the radio for the past 2 years!)"""
ciara,Ciara,27-11-1988,25-10-1985,"['@DangeRussWilson', '@WhyNotYouFDN']","b""Happy #GivingTuesday! In celebration of @DangeRussWilson's upcoming 30th birthday our @WhyNotYouFDN set out a goal to raise 33,333$. You guys helped us do this rather quickly! Now we have a new goal of 45k!! Let\xe2\x80\x99s go! Why Not Us Change a Child\xe2\x80\x99s Life? #ThankfulFor #WhyNotYou  """
ciara,Ciara,27-11-1988,25-10-1985,"['@WhyNotYouFDN', '@DangeRussWilson']",b'RT @WhyNotYouFDN: Happy #GivingTuesday! Let\xe2\x80\x99s continue to celebrate @DangeRussWilson 30th birthday as we raise money to support and empower\xe2\x80\xa6'
ciara,Ciara,19-05-2014,25-10-1985,['@lala'],b'RT @lala: Happy 2nd birthday to my nephew Future!!! Time is flying! I remember the day you were born like it was yesterday. U\xe2\x80\xa6 https://t.co\xe2\x80\xa6'
ConanOBrien,Conan O'Brien,29-05-1917,18-04-1963,[],"b""Today would have been JFK's 100th birthday. Honor his legacy by learning more about him.  """
CP3,Chris Paul,19-07-2018,06-05-1985,['@WhenWeAllVote'],b'Celebrating @WhenWeAllVote\xe2\x80\x99s 2nd birthday the same way we do anything else in our family... by getting everyone involved and registered to vote!! Join us     '
CP3,Chris Paul,11-12-2013,06-05-1985,[],b'Happy 5th birthday Chloe &amp; Carder!!! Love you guys more than anything! #ProudUncle  '
CP3,Chris Paul,02-10-1993,06-05-1985,[],b'Happy 24th birthday young king  #Ajax  '
Cristiano,Cristiano Ronaldo,18-06-2010,05-02-1985,[],"b""Celebrating my son's 5th birthday. http://t.co/q4deRAaSFC"""
DannyDeVito,Danny DeVito,18-02-1996,17-11-1944,['@democracynow'],"b""RT @democracynow: We are celebrating Democracy Now!'s 23rd birthday! For more than 2 decades, our hard-hitting independent news has been pr\xe2\x80\xa6"""
davidguetta,David Guetta,08-09-1989,07-11-1967,"['@_AMFofficial', '@Avicii']","b""RT @_AMFofficial:  Today would have been the 31st birthday of dance music's icon @Avicii  His music will live on forever. We honor Avici\xe2\x80\xa6"""
davidguetta,David Guetta,03-08-1995,07-11-1967,['@VFestival'],"b""Im playing @VFestival\xe2\x80\x99s #V21st birthday party in 3 weeks! can't wait !!!!\nlast tickets at:    """
DavidHenrie,David Henrie,20-11-1937,11-07-1989,[],b'Happy 80th birthday to my Nonna! So blessed to be your grandson and so grateful you loved life\xe2\x80\xa6  '
DavidLuiz_4,David Luiz,03-08-1991,22-04-1987,"['@ShaneScanlon008', '@DavidLuiz_4']",b'RT @ShaneScanlon008: @DavidLuiz_4 Can I have a RT for my 21st birthday? #EnjoyingTheLife #Geezer #CFC #ChampionsOfEurope'
DavidLuiz_4,David Luiz,03-08-1991,22-04-1987,"['@DannyBray1', '@DavidLuiz_4']",b'RT @DannyBray1: Any chance of a RT for one of your #geezers on their 21st birthday mr @DavidLuiz_4 :D?  #CFC #CFC_Family #geezers  ...'
ddlovato,Demi Lovato,19-10-2013,20-08-1992,['@Fabletics'],b'Happy 4th birthday @Fabletics     '
DeepakChopra,Deepak Chopra,04-08-1981,22-10-1946,[],"b'To celebrate the 40th birthday of my friend Meghan, The Duchess of Sussex, I\xe2\x80\x99m donating 40 minutes of mentorship to a woman reentering the workforce. Will you join me? #40x40 #CompassionInAction      '"
DeepakChopra,Deepak Chopra,19-10-1930,22-10-1946,['@saurabhvij137'],"b""Physics Must Evolve Beyond the Physical | SpringerLink \xe2\x81\xa6@saurabhvij137\xe2\x81\xa9 Published in peer reviewed journal on Henry Stapp's 90th birthday . Stapp is only living physicist who worked with Heisenberg . Just another point of view   """
DENISE_RICHARDS,Denise Richards,07-02-1970,17-02-1971,[],b'Happy 50th birthday (the new 30ish) my dear friend  agent_dp I love you dearly and the best is yet to come.   '
DENISE_RICHARDS,Denise Richards,01-06-2005,17-02-1971,[],"b'Happy 14th birthday beautiful sweet Lola..... I\xe2\x80\x99m so proud of you &amp; love you so much sweet angel...nana is definitely with you today @ Los Angeles, California  '"
DENISE_RICHARDS,Denise Richards,24-05-2011,17-02-1971,[],b'Happy 8th birthday to #MissEloise little angel face. Happy girl ... love her so much and always such a bright ray of light   '
DENISE_RICHARDS,Denise Richards,09-03-2004,17-02-1971,[],"b'My beautiful Sami Happy 15th birthday!!! I love you so much. I love your compassion, strength, &amp; you stand up for what you believe in. I can\xe2\x80\x99t believe you\xe2\x80\x99re 15 already. Seems like\xe2\x80\xa6  '"
DENISE_RICHARDS,Denise Richards,02-06-2005,17-02-1971,[],b'Happy 12th birthday my gorgeous lola.... I love u so much   '
DENISE_RICHARDS,Denise Richards,24-05-2011,17-02-1971,[],"b""Happy 6th birthday my sweet girl Eloise I'm so blessed to have you  """
djkhaled,DJ KHALED,29-11-1975,26-11-1975,"['@ThePopTingzz', '@DjKhaled']",b'RT @ThePopTingzz: Beyonc\xc3\xa9 wishes @DjKhaled a happy 46th birthday  '
DjokerNole,Novak Djokovic,21-10-2014,22-05-1987,[],"b""Stefan's 2nd birthday! Balloons and face paint :))  """
DjokerNole,Novak Djokovic,18-07-1995,22-05-1987,[],b'This is the little surprise we guys made for our youngest brother Djordje who had 18th birthday yesterday http://t.co/TF8jfl4iC8'
DJPaulyD,DJ Pauly D,10-02-2012,05-07-1980,"['@WeAreHFC', '@DJPaulyD']","b""RT @WeAreHFC: We're bringing #TBT back this year in honor of our 10th birthday! Here's @DJPaulyD spinning for our first-ever #HilarityForCh\xe2\x80\xa6"""
DrOz,Dr. Mehmet Oz,26-11-1990,11-06-1960,['@arabellasoz'],"b'A very happy 30th birthday to my daughter @arabellasoz, who is now working as a therapist and guiding people through our turbulent times. Her kindness and profound insights have brought joy into our lives \xe2\x80\x93 and her witty repartee still keeps her competitive siblings at bay.  '"
